File: airs-bp
Type: cpu
Time: Aug 9, 2023 at 3:44pm (UTC)
Duration: 10.04s, Total samples = 1.24s (12.36%)
Showing nodes accounting for 1.24s, 100% of 1.24s total
      flat  flat%   sum%        cum   cum%
     0.24s 19.35% 19.35%      0.24s 19.35%  runtime/internal/syscall.Syscall6
     0.13s 10.48% 29.84%      0.13s 10.48%  runtime.futex
     0.05s  4.03% 33.87%      0.12s  9.68%  runtime.mallocgc
     0.04s  3.23% 37.10%      0.08s  6.45%  runtime.getitab
     0.04s  3.23% 40.32%      0.04s  3.23%  runtime.write1
     0.03s  2.42% 42.74%      0.04s  3.23%  runtime.(*itabTableType).find
     0.02s  1.61% 44.35%      0.02s  1.61%  encoding/json.(*decodeState).rescanLiteral
     0.02s  1.61% 45.97%      0.40s 32.26%  github.com/voedger/voedger/pkg/pipeline.(*implISyncOperatorSimple).DoSync
     0.02s  1.61% 47.58%      0.02s  1.61%  runtime.add (inline)
     0.02s  1.61% 49.19%      0.02s  1.61%  runtime.findObject
     0.02s  1.61% 50.81%      0.02s  1.61%  runtime.mapaccess2
     0.02s  1.61% 52.42%      0.04s  3.23%  runtime.mapaccess2_faststr
     0.02s  1.61% 54.03%      0.12s  9.68%  runtime.netpoll
     0.02s  1.61% 55.65%      0.02s  1.61%  runtime.nextFreeFast (inline)
     0.02s  1.61% 57.26%      0.02s  1.61%  runtime.releasem (inline)
     0.01s  0.81% 58.06%      0.01s  0.81%  context.(*cancelCtx).cancel
     0.01s  0.81% 58.87%      0.01s  0.81%  crypto/sha256.block
     0.01s  0.81% 59.68%      0.02s  1.61%  encoding/json.checkValid
     0.01s  0.81% 60.48%      0.04s  3.23%  github.com/gocql/gocql.(*Conn).executeBatch
     0.01s  0.81% 61.29%      0.01s  0.81%  github.com/gocql/gocql.(*Conn).releaseStream
     0.01s  0.81% 62.10%      0.02s  1.61%  github.com/untillpro/dynobuffers.(*Buffer).encodeBuffer
     0.01s  0.81% 62.90%      0.01s  0.81%  github.com/untillpro/dynobuffers.(*Buffer).releaseFields
     0.01s  0.81% 63.71%      0.01s  0.81%  github.com/untillpro/dynobuffers.(*Buffer).set
     0.01s  0.81% 64.52%      0.01s  0.81%  github.com/voedger/voedger/pkg/appdef.DefKind.HasSystemField (inline)
     0.01s  0.81% 65.32%      0.05s  4.03%  github.com/voedger/voedger/pkg/in10nmem.(*N10nBroker).WatchChannel
     0.01s  0.81% 66.13%      0.01s  0.81%  github.com/voedger/voedger/pkg/in10nmem.notifier
     0.01s  0.81% 66.94%      0.01s  0.81%  github.com/voedger/voedger/pkg/vvm.(*VVMApps).Exists (inline)
     0.01s  0.81% 67.74%      0.01s  0.81%  memeqbody
     0.01s  0.81% 68.55%      0.01s  0.81%  net/http.readRequest.func1
     0.01s  0.81% 69.35%      0.01s  0.81%  net/textproto.validHeaderFieldByte (inline)
     0.01s  0.81% 70.16%      0.01s  0.81%  runtime.(*guintptr).cas (inline)
     0.01s  0.81% 70.97%      0.01s  0.81%  runtime.(*mcache).prepareForSweep
     0.01s  0.81% 71.77%      0.01s  0.81%  runtime.(*mcache).refill
     0.01s  0.81% 72.58%      0.01s  0.81%  runtime.(*waitq).dequeue (inline)
     0.01s  0.81% 73.39%      0.01s  0.81%  runtime.acquirem (inline)
     0.01s  0.81% 74.19%      0.01s  0.81%  runtime.casgstatus
     0.01s  0.81% 75.00%      0.01s  0.81%  runtime.chanrecv2
     0.01s  0.81% 75.81%      0.01s  0.81%  runtime.evacuate_fast64
     0.01s  0.81% 76.61%      0.04s  3.23%  runtime.growslice
     0.01s  0.81% 77.42%      0.01s  0.81%  runtime.heapBitsForAddr
     0.01s  0.81% 78.23%      0.02s  1.61%  runtime.heapBitsSetType
     0.01s  0.81% 79.03%      0.01s  0.81%  runtime.ifaceeq
     0.01s  0.81% 79.84%      0.01s  0.81%  runtime.mapaccess1_faststr
     0.01s  0.81% 80.65%      0.02s  1.61%  runtime.mapassign_faststr
     0.01s  0.81% 81.45%      0.01s  0.81%  runtime.mapiternext
     0.01s  0.81% 82.26%      0.01s  0.81%  runtime.memclrNoHeapPointers
     0.01s  0.81% 83.06%      0.01s  0.81%  runtime.memmove
     0.01s  0.81% 83.87%      0.01s  0.81%  runtime.nanotime (inline)
     0.01s  0.81% 84.68%      0.06s  4.84%  runtime.newobject
     0.01s  0.81% 85.48%      0.09s  7.26%  runtime.notesleep
     0.01s  0.81% 86.29%      0.01s  0.81%  runtime.pageIndexOf (inline)
     0.01s  0.81% 87.10%      0.01s  0.81%  runtime.read
     0.01s  0.81% 87.90%      0.03s  2.42%  runtime.runqgrab
     0.01s  0.81% 88.71%      0.04s  3.23%  runtime.runqsteal
     0.01s  0.81% 89.52%      0.05s  4.03%  runtime.scanobject
     0.01s  0.81% 90.32%      0.01s  0.81%  runtime.semrelease1
     0.01s  0.81% 91.13%      0.01s  0.81%  runtime.slicebytetostring
     0.01s  0.81% 91.94%      0.05s  4.03%  runtime.stealWork
     0.01s  0.81% 92.74%      0.11s  8.87%  runtime.stopm
     0.01s  0.81% 93.55%      0.01s  0.81%  runtime.typedmemmove
     0.01s  0.81% 94.35%      0.01s  0.81%  runtime.unlock2
     0.01s  0.81% 95.16%      0.01s  0.81%  runtime.usleep
     0.01s  0.81% 95.97%      0.01s  0.81%  runtime.writeHeapBits.flush
     0.01s  0.81% 96.77%      0.01s  0.81%  runtime/internal/atomic.(*UnsafePointer).Load (inline)
     0.01s  0.81% 97.58%      0.01s  0.81%  sort.Sort
     0.01s  0.81% 98.39%      0.01s  0.81%  strconv.readFloat
     0.01s  0.81% 99.19%      0.01s  0.81%  time.Now
     0.01s  0.81%   100%      0.01s  0.81%  vendor/golang.org/x/net/http/httpguts.isCTL (inline)
         0     0%   100%      0.02s  1.61%  bufio.(*Reader).Peek
         0     0%   100%      0.05s  4.03%  bufio.(*Reader).Read
         0     0%   100%      0.02s  1.61%  bufio.(*Reader).fill
         0     0%   100%      0.07s  5.65%  bufio.(*Writer).Flush
         0     0%   100%      0.01s  0.81%  bufio.(*Writer).Write
         0     0%   100%      0.01s  0.81%  context.WithCancel.func1
         0     0%   100%      0.01s  0.81%  crypto/hmac.(*hmac).Sum
         0     0%   100%      0.01s  0.81%  crypto/hmac.New
         0     0%   100%      0.01s  0.81%  crypto/hmac.New.func1
         0     0%   100%      0.01s  0.81%  crypto/sha256.(*digest).Sum
         0     0%   100%      0.01s  0.81%  crypto/sha256.(*digest).Write
         0     0%   100%      0.01s  0.81%  crypto/sha256.(*digest).checkSum
         0     0%   100%      0.05s  4.03%  encoding/json.(*decodeState).arrayInterface
         0     0%   100%      0.01s  0.81%  encoding/json.(*decodeState).convertNumber
         0     0%   100%      0.01s  0.81%  encoding/json.(*decodeState).literalInterface
         0     0%   100%      0.06s  4.84%  encoding/json.(*decodeState).object
         0     0%   100%      0.05s  4.03%  encoding/json.(*decodeState).objectInterface
         0     0%   100%      0.06s  4.84%  encoding/json.(*decodeState).unmarshal
         0     0%   100%      0.06s  4.84%  encoding/json.(*decodeState).value
         0     0%   100%      0.05s  4.03%  encoding/json.(*decodeState).valueInterface
         0     0%   100%      0.01s  0.81%  encoding/json.(*scanner).pushParseState
         0     0%   100%      0.08s  6.45%  encoding/json.Unmarshal
         0     0%   100%      0.01s  0.81%  encoding/json.stateBeginValue
         0     0%   100%      0.01s  0.81%  github.com/VictoriaMetrics/fastcache.(*Cache).Set
         0     0%   100%      0.01s  0.81%  github.com/VictoriaMetrics/fastcache.(*bucket).Set
         0     0%   100%      0.04s  3.23%  github.com/gocql/gocql.(*Batch).execute
         0     0%   100%      0.04s  3.23%  github.com/gocql/gocql.(*Conn).exec
         0     0%   100%      0.02s  1.61%  github.com/gocql/gocql.(*Conn).executeQuery
         0     0%   100%      0.06s  4.84%  github.com/gocql/gocql.(*Conn).recv
         0     0%   100%      0.06s  4.84%  github.com/gocql/gocql.(*Conn).serve
         0     0%   100%      0.02s  1.61%  github.com/gocql/gocql.(*Query).Exec
         0     0%   100%      0.02s  1.61%  github.com/gocql/gocql.(*Query).Iter
         0     0%   100%      0.02s  1.61%  github.com/gocql/gocql.(*Query).execute
         0     0%   100%      0.05s  4.03%  github.com/gocql/gocql.(*Session).ExecuteBatch
         0     0%   100%      0.05s  4.03%  github.com/gocql/gocql.(*Session).executeBatch
         0     0%   100%      0.02s  1.61%  github.com/gocql/gocql.(*Session).executeQuery
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*dcAwareRR).Pick
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*framer).writeBatchFrame
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*framer).writeBytes (inline)
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*framer).writeExecuteFrame
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*framer).writeInt (inline)
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*framer).writeLong (inline)
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*framer).writeQueryParams
         0     0%   100%      0.06s  4.84%  github.com/gocql/gocql.(*queryExecutor).attemptQuery
         0     0%   100%      0.06s  4.84%  github.com/gocql/gocql.(*queryExecutor).do
         0     0%   100%      0.07s  5.65%  github.com/gocql/gocql.(*queryExecutor).executeQuery
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*writeBatchFrame).buildFrame
         0     0%   100%      0.03s  2.42%  github.com/gocql/gocql.(*writeCoalescer).flush
         0     0%   100%      0.06s  4.84%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher
         0     0%   100%      0.03s  2.42%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher.func1
         0     0%   100%      0.06s  4.84%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*writeExecuteFrame).buildFrame
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.Marshal
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.appendInt (inline)
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.appendLong (inline)
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.marshalQueryValue
         0     0%   100%      0.05s  4.03%  github.com/gocql/gocql.readHeader
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.roundRobbin
         0     0%   100%      0.03s  2.42%  github.com/golang-jwt/jwt.(*Parser).Parse (inline)
         0     0%   100%      0.01s  0.81%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
         0     0%   100%      0.03s  2.42%  github.com/golang-jwt/jwt.(*Parser).ParseWithClaims
         0     0%   100%      0.02s  1.61%  github.com/golang-jwt/jwt.(*SigningMethodHMAC).Verify
         0     0%   100%      0.03s  2.42%  github.com/golang-jwt/jwt.Parse
         0     0%   100%      0.01s  0.81%  github.com/google/flatbuffers/go.(*Builder).Prep
         0     0%   100%      0.01s  0.81%  github.com/google/flatbuffers/go.(*Builder).PrependInt64
         0     0%   100%      0.01s  0.81%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
         0     0%   100%      0.02s  1.61%  github.com/google/flatbuffers/go.NewBuilder (inline)
         0     0%   100%      0.10s  8.06%  github.com/gorilla/mux.(*Router).ServeHTTP
