File: airs-bp
Type: cpu
Time: Aug 10, 2023 at 2:23pm (UTC)
Duration: 10s, Total samples = 1.20s (12.00%)
Showing nodes accounting for 1.20s, 100% of 1.20s total
      flat  flat%   sum%        cum   cum%
     0.18s 15.00% 15.00%      0.18s 15.00%  runtime.futex
     0.17s 14.17% 29.17%      0.17s 14.17%  runtime/internal/syscall.Syscall6
     0.04s  3.33% 32.50%      0.11s  9.17%  runtime.mallocgc
     0.04s  3.33% 35.83%      0.06s  5.00%  runtime.mapaccess2_faststr
     0.02s  1.67% 37.50%      0.02s  1.67%  aeshashbody
     0.02s  1.67% 39.17%      0.03s  2.50%  github.com/google/flatbuffers/go.(*Builder).Prep
     0.02s  1.67% 40.83%      0.02s  1.67%  runtime.(*itabTableType).find
     0.02s  1.67% 42.50%      0.02s  1.67%  runtime.(*waitq).dequeue (inline)
     0.02s  1.67% 44.17%      0.02s  1.67%  runtime.checkdead
     0.02s  1.67% 45.83%      0.02s  1.67%  runtime.fastrand (inline)
     0.02s  1.67% 47.50%      0.02s  1.67%  runtime.mapaccess2
     0.02s  1.67% 49.17%      0.02s  1.67%  runtime.memclrNoHeapPointers
     0.02s  1.67% 50.83%      0.02s  1.67%  runtime.memmove
     0.02s  1.67% 52.50%      0.02s  1.67%  runtime.nanotime (inline)
     0.02s  1.67% 54.17%      0.02s  1.67%  runtime.nextFreeFast (inline)
     0.02s  1.67% 55.83%      0.02s  1.67%  runtime.write1
     0.01s  0.83% 56.67%      0.01s  0.83%  context.(*cancelCtx).Value
     0.01s  0.83% 57.50%      0.02s  1.67%  encoding/base64.(*Encoding).Decode
     0.01s  0.83% 58.33%      0.01s  0.83%  encoding/base64.assemble64 (inline)
     0.01s  0.83% 59.17%      0.01s  0.83%  encoding/json.checkValid
     0.01s  0.83% 60.00%      0.01s  0.83%  encoding/json.stateEndValue
     0.01s  0.83% 60.83%      0.01s  0.83%  fmt.(*buffer).writeString (inline)
     0.01s  0.83% 61.67%      0.01s  0.83%  github.com/gocql/gocql.(*Query).shouldPrepare.func1
     0.01s  0.83% 62.50%      0.01s  0.83%  github.com/gocql/gocql.(*Session).NewBatch
     0.01s  0.83% 63.33%      0.12s 10.00%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
     0.01s  0.83% 64.17%      0.01s  0.83%  github.com/google/flatbuffers/go.(*Builder).Slot (inline)
     0.01s  0.83% 65.00%      0.02s  1.67%  github.com/google/flatbuffers/go.(*Builder).WriteVtable
     0.01s  0.83% 65.83%      0.01s  0.83%  github.com/voedger/voedger/pkg/appdef.(*field).Verifiable
     0.01s  0.83% 66.67%      0.09s  7.50%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
     0.01s  0.83% 67.50%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.CheckRefIntegrity.func1
     0.01s  0.83% 68.33%      0.01s  0.83%  github.com/voedger/voedger/pkg/pipeline.(*flushTimer).reset (inline)
     0.01s  0.83% 69.17%      0.01s  0.83%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).authorizeCUDs
     0.01s  0.83% 70.00%      0.04s  3.33%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
     0.01s  0.83% 70.83%      0.06s  5.00%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).DoAsync
     0.01s  0.83% 71.67%      0.09s  7.50%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ApplyBatch
     0.01s  0.83% 72.50%      0.01s  0.83%  github.com/voedger/voedger/pkg/utils.IsTest
     0.01s  0.83% 73.33%      0.01s  0.83%  net.wrapSyscallError (inline)
     0.01s  0.83% 74.17%      0.01s  0.83%  net/http.(*response).Header
     0.01s  0.83% 75.00%      0.01s  0.83%  regexp/syntax.(*Inst).MatchRunePos
     0.01s  0.83% 75.83%      0.01s  0.83%  runtime.(*mspan).divideByElemSize (inline)
     0.01s  0.83% 76.67%      0.01s  0.83%  runtime.(*randomOrder).start (inline)
     0.01s  0.83% 77.50%      0.01s  0.83%  runtime.(*spanSet).pop
     0.01s  0.83% 78.33%      0.01s  0.83%  runtime.(*spanSet).push
     0.01s  0.83% 79.17%      0.01s  0.83%  runtime.acquirem (inline)
     0.01s  0.83% 80.00%      0.02s  1.67%  runtime.assertE2I
     0.01s  0.83% 80.83%      0.02s  1.67%  runtime.casgstatus
     0.01s  0.83% 81.67%      0.01s  0.83%  runtime.exitsyscallfast
     0.01s  0.83% 82.50%      0.02s  1.67%  runtime.findObject
     0.01s  0.83% 83.33%      0.03s  2.50%  runtime.getitab
     0.01s  0.83% 84.17%      0.01s  0.83%  runtime.greyobject
     0.01s  0.83% 85.00%      0.02s  1.67%  runtime.lock2
     0.01s  0.83% 85.83%      0.02s  1.67%  runtime.makeBucketArray
     0.01s  0.83% 86.67%      0.01s  0.83%  runtime.mapaccess1
     0.01s  0.83% 87.50%      0.01s  0.83%  runtime.nanotime1
     0.01s  0.83% 88.33%      0.08s  6.67%  runtime.netpoll
     0.01s  0.83% 89.17%      0.09s  7.50%  runtime.notesleep
     0.01s  0.83% 90.00%      0.01s  0.83%  runtime.pcvalue
     0.01s  0.83% 90.83%      0.01s  0.83%  runtime.procyield
     0.01s  0.83% 91.67%      0.01s  0.83%  runtime.read
     0.01s  0.83% 92.50%      0.01s  0.83%  runtime.releaseSudog
     0.01s  0.83% 93.33%      0.05s  4.17%  runtime.selectgo
     0.01s  0.83% 94.17%      0.07s  5.83%  runtime.send
     0.01s  0.83% 95.00%      0.01s  0.83%  runtime.spanOfUnchecked (inline)
     0.01s  0.83% 95.83%      0.04s  3.33%  runtime.stealWork
     0.01s  0.83% 96.67%      0.17s 14.17%  runtime.systemstack
     0.01s  0.83% 97.50%      0.01s  0.83%  runtime.usleep
     0.01s  0.83% 98.33%      0.01s  0.83%  strconv.readFloat
     0.01s  0.83% 99.17%      0.01s  0.83%  sync/atomic.(*Int32).Add (inline)
     0.01s  0.83%   100%      0.01s  0.83%  time.Now
         0     0%   100%      0.01s  0.83%  bufio.(*Reader).Peek
         0     0%   100%      0.06s  5.00%  bufio.(*Reader).Read
         0     0%   100%      0.01s  0.83%  bufio.(*Reader).fill
         0     0%   100%      0.01s  0.83%  bufio.(*Writer).Flush
         0     0%   100%      0.01s  0.83%  context.(*cancelCtx).cancel
         0     0%   100%      0.01s  0.83%  context.WithCancel.func1
         0     0%   100%      0.01s  0.83%  context.parentCancelCtx
         0     0%   100%      0.01s  0.83%  context.removeChild
         0     0%   100%      0.02s  1.67%  encoding/base64.(*Encoding).DecodeString
         0     0%   100%      0.01s  0.83%  encoding/json.(*decodeState).array
         0     0%   100%      0.07s  5.83%  encoding/json.(*decodeState).arrayInterface
         0     0%   100%      0.01s  0.83%  encoding/json.(*decodeState).convertNumber
         0     0%   100%      0.01s  0.83%  encoding/json.(*decodeState).literalInterface
         0     0%   100%      0.08s  6.67%  encoding/json.(*decodeState).object
         0     0%   100%      0.07s  5.83%  encoding/json.(*decodeState).objectInterface
         0     0%   100%      0.01s  0.83%  encoding/json.(*decodeState).rescanLiteral
         0     0%   100%      0.08s  6.67%  encoding/json.(*decodeState).unmarshal
         0     0%   100%      0.08s  6.67%  encoding/json.(*decodeState).value
         0     0%   100%      0.07s  5.83%  encoding/json.(*decodeState).valueInterface
         0     0%   100%      0.09s  7.50%  encoding/json.Unmarshal
         0     0%   100%      0.02s  1.67%  encoding/json.unquote (inline)
         0     0%   100%      0.01s  0.83%  fmt.(*fmt).fmtS
         0     0%   100%      0.01s  0.83%  fmt.(*fmt).padString
         0     0%   100%      0.01s  0.83%  fmt.(*pp).doPrintf
         0     0%   100%      0.01s  0.83%  fmt.(*pp).fmtString
         0     0%   100%      0.01s  0.83%  fmt.(*pp).printArg
         0     0%   100%      0.01s  0.83%  fmt.Sprintf
         0     0%   100%      0.04s  3.33%  github.com/gocql/gocql.(*Batch).execute
         0     0%   100%      0.05s  4.17%  github.com/gocql/gocql.(*Conn).exec
         0     0%   100%      0.04s  3.33%  github.com/gocql/gocql.(*Conn).executeBatch
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.(*Conn).executeQuery
         0     0%   100%      0.05s  4.17%  github.com/gocql/gocql.(*Conn).recv
         0     0%   100%      0.05s  4.17%  github.com/gocql/gocql.(*Conn).serve
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.(*Query).Exec
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.(*Query).Iter
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.(*Query).execute
         0     0%   100%      0.01s  0.83%  github.com/gocql/gocql.(*Query).shouldPrepare
         0     0%   100%      0.04s  3.33%  github.com/gocql/gocql.(*Session).ExecuteBatch
         0     0%   100%      0.04s  3.33%  github.com/gocql/gocql.(*Session).executeBatch
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.(*Session).executeQuery
         0     0%   100%      0.06s  5.00%  github.com/gocql/gocql.(*queryExecutor).attemptQuery
         0     0%   100%      0.06s  5.00%  github.com/gocql/gocql.(*queryExecutor).do
         0     0%   100%      0.06s  5.00%  github.com/gocql/gocql.(*queryExecutor).executeQuery
         0     0%   100%      0.10s  8.33%  github.com/gocql/gocql.(*writeCoalescer).flush
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.(*writeCoalescer).writeContext
         0     0%   100%      0.12s 10.00%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher
         0     0%   100%      0.01s  0.83%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher.func1
         0     0%   100%      0.01s  0.83%  github.com/gocql/gocql.newFramer (inline)
         0     0%   100%      0.04s  3.33%  github.com/gocql/gocql.readHeader
         0     0%   100%      0.02s  1.67%  github.com/golang-jwt/jwt.(*Parser).Parse (inline)
         0     0%   100%      0.02s  1.67%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
         0     0%   100%      0.02s  1.67%  github.com/golang-jwt/jwt.(*Parser).ParseWithClaims
         0     0%   100%      0.02s  1.67%  github.com/golang-jwt/jwt.DecodeSegment (inline)
         0     0%   100%      0.02s  1.67%  github.com/golang-jwt/jwt.Parse
         0     0%   100%      0.02s  1.67%  github.com/google/flatbuffers/go.(*Builder).EndObject (inline)
         0     0%   100%      0.01s  0.83%  github.com/google/flatbuffers/go.(*Builder).PrependInt32
         0     0%   100%      0.01s  0.83%  github.com/google/flatbuffers/go.(*Builder).PrependInt64
         0     0%   100%      0.01s  0.83%  github.com/google/flatbuffers/go.(*Builder).PrependVOffsetT
         0     0%   100%      0.01s  0.83%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
         0     0%   100%      0.01s  0.83%  github.com/gorilla/mux.(*Route).Match
         0     0%   100%      0.01s  0.83%  github.com/gorilla/mux.(*Router).Match
         0     0%   100%      0.05s  4.17%  github.com/gorilla/mux.(*Router).ServeHTTP
         0     0%   100%      0.01s  0.83%  github.com/gorilla/mux.(*routeRegexp).Match
         0     0%   100%      0.02s  1.67%  github.com/hashicorp/golang-lru/v2.(*Cache[...]).Get
         0     0%   100%      0.01s  0.83%  github.com/hashicorp/golang-lru/v2/simplelru.(*LRU[...]).Get
         0     0%   100%      0.01s  0.83%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*articleService).isPromoArticle
         0     0%   100%      0.02s  1.67%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do
         0     0%   100%      0.01s  0.83%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do.func3
         0     0%   100%      0.01s  0.83%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateDailyOrders
         0     0%   100%      0.02s  1.67%  github.com/untillpro/airs-bp3/packages/air/dashboard.glob..func1
         0     0%   100%      0.01s  0.83%  github.com/untillpro/airs-bp3/packages/air/ordersdates.glob..func1
