File: airs-bp
Type: cpu
Time: Aug 10, 2023 at 6:11pm (UTC)
Duration: 10.16s, Total samples = 1.23s (12.11%)
Showing nodes accounting for 1.23s, 100% of 1.23s total
      flat  flat%   sum%        cum   cum%
     0.19s 15.45% 15.45%      0.19s 15.45%  runtime.futex
     0.13s 10.57% 26.02%      0.13s 10.57%  runtime/internal/syscall.Syscall6
     0.06s  4.88% 30.89%      0.06s  4.88%  runtime.nextFreeFast (inline)
     0.04s  3.25% 34.15%      0.08s  6.50%  runtime.selectgo
     0.04s  3.25% 37.40%      0.04s  3.25%  runtime.write1
     0.03s  2.44% 39.84%      0.03s  2.44%  runtime.(*itabTableType).find
     0.03s  2.44% 42.28%      0.03s  2.44%  runtime.memmove
     0.02s  1.63% 43.90%      0.03s  2.44%  github.com/untillpro/dynobuffers.(*Buffer).getFieldUOffsetT
     0.02s  1.63% 45.53%      0.03s  2.44%  runtime.checkTimers
     0.02s  1.63% 47.15%      0.17s 13.82%  runtime.mallocgc
     0.02s  1.63% 48.78%      0.03s  2.44%  runtime.mapaccess2_faststr
     0.02s  1.63% 50.41%      0.02s  1.63%  runtime.mapiternext
     0.02s  1.63% 52.03%      0.02s  1.63%  runtime.pageIndexOf (inline)
     0.02s  1.63% 53.66%      0.05s  4.07%  runtime.scanobject
     0.01s  0.81% 54.47%      0.01s  0.81%  context.(*cancelCtx).Done
     0.01s  0.81% 55.28%      0.01s  0.81%  encoding/base64.(*Encoding).Decode
     0.01s  0.81% 56.10%      0.01s  0.81%  encoding/json.(*decodeState).readIndex (inline)
     0.01s  0.81% 56.91%      0.01s  0.81%  encoding/json.checkValid
     0.01s  0.81% 57.72%      0.01s  0.81%  encoding/json.stateEndValue
     0.01s  0.81% 58.54%      0.06s  4.88%  github.com/gocql/gocql.(*Conn).recv
     0.01s  0.81% 59.35%      0.10s  8.13%  github.com/gocql/gocql.(*writeCoalescer).flush
     0.01s  0.81% 60.16%      0.01s  0.81%  github.com/gocql/gocql/internal/streams.streamOffset (inline)
     0.01s  0.81% 60.98%      0.01s  0.81%  github.com/google/flatbuffers/go.(*Builder).Reset (inline)
     0.01s  0.81% 61.79%      0.04s  3.25%  github.com/untillpro/dynobuffers.(*Buffer).encodeBuffer
     0.01s  0.81% 62.60%      0.01s  0.81%  github.com/voedger/voedger/pkg/appdef.(*field).DataKind
     0.01s  0.81% 63.41%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).qNameID
     0.01s  0.81% 64.23%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow.func1
     0.01s  0.81% 65.04%      0.04s  3.25%  github.com/voedger/voedger/pkg/processors/command.applyPLogEvent
     0.01s  0.81% 65.85%      0.01s  0.81%  github.com/voedger/voedger/pkg/processors/command.checkWSActive
     0.01s  0.81% 66.67%      0.01s  0.81%  github.com/voedger/voedger/pkg/projectors.(*eventService).getWSID
     0.01s  0.81% 67.48%      0.01s  0.81%  indexbytebody
     0.01s  0.81% 68.29%      0.02s  1.63%  internal/poll.(*FD).Read
     0.01s  0.81% 69.11%      0.01s  0.81%  memeqbody
     0.01s  0.81% 69.92%      0.01s  0.81%  net/http.(*connReader).lock
     0.01s  0.81% 70.73%      0.01s  0.81%  reflect.(*rtype).exportedMethods
     0.01s  0.81% 71.54%      0.01s  0.81%  reflect.(*rtype).ptrTo
     0.01s  0.81% 72.36%      0.01s  0.81%  runtime.(*limiterEvent).stop
     0.01s  0.81% 73.17%      0.03s  2.44%  runtime.(*mcentral).cacheSpan
     0.01s  0.81% 73.98%      0.01s  0.81%  runtime.(*mspan).init
     0.01s  0.81% 74.80%      0.01s  0.81%  runtime.(*randomEnum).next (inline)
     0.01s  0.81% 75.61%      0.01s  0.81%  runtime.(*semaRoot).dequeue
     0.01s  0.81% 76.42%      0.01s  0.81%  runtime.(*timeHistogram).record
     0.01s  0.81% 77.24%      0.01s  0.81%  runtime.acquireSudog
     0.01s  0.81% 78.05%      0.01s  0.81%  runtime.acquirem (inline)
     0.01s  0.81% 78.86%      0.01s  0.81%  runtime.add (inline)
     0.01s  0.81% 79.67%      0.01s  0.81%  runtime.chanrecv
     0.01s  0.81% 80.49%      0.01s  0.81%  runtime.duffcopy
     0.01s  0.81% 81.30%      0.01s  0.81%  runtime.exitsyscallfast
     0.01s  0.81% 82.11%      0.01s  0.81%  runtime.findObject
     0.01s  0.81% 82.93%      0.25s 20.33%  runtime.findRunnable
     0.01s  0.81% 83.74%      0.13s 10.57%  runtime.futexsleep
     0.01s  0.81% 84.55%      0.06s  4.88%  runtime.gcDrain
     0.01s  0.81% 85.37%      0.01s  0.81%  runtime.gcTrigger.test
     0.01s  0.81% 86.18%      0.01s  0.81%  runtime.gentraceback
     0.01s  0.81% 86.99%      0.01s  0.81%  runtime.gogo
     0.01s  0.81% 87.80%      0.08s  6.50%  runtime.goready
     0.01s  0.81% 88.62%      0.03s  2.44%  runtime.heapBitsSetType
     0.01s  0.81% 89.43%      0.06s  4.88%  runtime.makeslice
     0.01s  0.81% 90.24%      0.01s  0.81%  runtime.mapaccess1
     0.01s  0.81% 91.06%      0.02s  1.63%  runtime.mapiterinit
     0.01s  0.81% 91.87%      0.01s  0.81%  runtime.nanotime (inline)
     0.01s  0.81% 92.68%      0.01s  0.81%  runtime.nanotime1
     0.01s  0.81% 93.50%      0.01s  0.81%  runtime.netpollblockcommit
     0.01s  0.81% 94.31%      0.14s 11.38%  runtime.notesleep
     0.01s  0.81% 95.12%      0.30s 24.39%  runtime.schedule
     0.01s  0.81% 95.93%      0.01s  0.81%  runtime.unlock2
     0.01s  0.81% 96.75%      0.01s  0.81%  runtime.writeHeapBits.flush
     0.01s  0.81% 97.56%      0.01s  0.81%  runtime.writeHeapBits.write
     0.01s  0.81% 98.37%      0.01s  0.81%  runtime/internal/atomic.(*UnsafePointer).Load (inline)
     0.01s  0.81% 99.19%      0.01s  0.81%  runtime/internal/atomic.(*UnsafePointer).StoreNoWB (inline)
     0.01s  0.81%   100%      0.01s  0.81%  type:.eq.github.com/voedger/voedger/pkg/appdef.QName
         0     0%   100%      0.01s  0.81%  bufio.(*Reader).Peek
         0     0%   100%      0.01s  0.81%  bufio.(*Reader).Read
         0     0%   100%      0.01s  0.81%  bufio.(*Reader).fill
         0     0%   100%      0.02s  1.63%  encoding/base64.(*Encoding).DecodeString
         0     0%   100%      0.01s  0.81%  encoding/json.(*decodeState).array
         0     0%   100%      0.04s  3.25%  encoding/json.(*decodeState).arrayInterface
         0     0%   100%      0.01s  0.81%  encoding/json.(*decodeState).literalInterface
         0     0%   100%      0.06s  4.88%  encoding/json.(*decodeState).object
         0     0%   100%      0.04s  3.25%  encoding/json.(*decodeState).objectInterface
         0     0%   100%      0.01s  0.81%  encoding/json.(*decodeState).rescanLiteral
         0     0%   100%      0.06s  4.88%  encoding/json.(*decodeState).unmarshal
         0     0%   100%      0.06s  4.88%  encoding/json.(*decodeState).value
         0     0%   100%      0.04s  3.25%  encoding/json.(*decodeState).valueInterface
         0     0%   100%      0.07s  5.69%  encoding/json.Unmarshal
         0     0%   100%      0.01s  0.81%  encoding/json.indirect
         0     0%   100%      0.01s  0.81%  encoding/json.unquote (inline)
         0     0%   100%      0.01s  0.81%  github.com/VictoriaMetrics/fastcache.(*Cache).HasGet
         0     0%   100%      0.01s  0.81%  github.com/VictoriaMetrics/fastcache.(*Cache).Set
         0     0%   100%      0.01s  0.81%  github.com/VictoriaMetrics/fastcache.(*bucket).Get
         0     0%   100%      0.01s  0.81%  github.com/VictoriaMetrics/fastcache.(*bucket).Set
         0     0%   100%      0.05s  4.07%  github.com/gocql/gocql.(*Batch).execute
         0     0%   100%      0.08s  6.50%  github.com/gocql/gocql.(*Conn).exec
         0     0%   100%      0.05s  4.07%  github.com/gocql/gocql.(*Conn).executeBatch
         0     0%   100%      0.03s  2.44%  github.com/gocql/gocql.(*Conn).executeQuery
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*Conn).releaseStream
         0     0%   100%      0.06s  4.88%  github.com/gocql/gocql.(*Conn).serve
         0     0%   100%      0.03s  2.44%  github.com/gocql/gocql.(*Query).Exec
         0     0%   100%      0.03s  2.44%  github.com/gocql/gocql.(*Query).Iter
         0     0%   100%      0.03s  2.44%  github.com/gocql/gocql.(*Query).execute
         0     0%   100%      0.05s  4.07%  github.com/gocql/gocql.(*Session).ExecuteBatch
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*Session).NewBatch
         0     0%   100%      0.05s  4.07%  github.com/gocql/gocql.(*Session).executeBatch
         0     0%   100%      0.03s  2.44%  github.com/gocql/gocql.(*Session).executeQuery
         0     0%   100%      0.08s  6.50%  github.com/gocql/gocql.(*queryExecutor).attemptQuery
         0     0%   100%      0.08s  6.50%  github.com/gocql/gocql.(*queryExecutor).do
         0     0%   100%      0.08s  6.50%  github.com/gocql/gocql.(*queryExecutor).executeQuery
         0     0%   100%      0.02s  1.63%  github.com/gocql/gocql.(*writeCoalescer).writeContext
         0     0%   100%      0.13s 10.57%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher.func1
         0     0%   100%      0.13s 10.57%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.newFramer (inline)
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.readHeader
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql/internal/streams.(*IDGenerator).Clear
         0     0%   100%      0.04s  3.25%  github.com/golang-jwt/jwt.(*Parser).Parse (inline)
         0     0%   100%      0.04s  3.25%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
         0     0%   100%      0.04s  3.25%  github.com/golang-jwt/jwt.(*Parser).ParseWithClaims
         0     0%   100%      0.02s  1.63%  github.com/golang-jwt/jwt.DecodeSegment (inline)
         0     0%   100%      0.04s  3.25%  github.com/golang-jwt/jwt.Parse
         0     0%   100%      0.01s  0.81%  github.com/google/flatbuffers/go.(*Builder).CreateByteString
         0     0%   100%      0.02s  1.63%  github.com/google/flatbuffers/go.(*Builder).Finish (inline)
         0     0%   100%      0.02s  1.63%  github.com/google/flatbuffers/go.(*Builder).Prep
         0     0%   100%      0.02s  1.63%  github.com/google/flatbuffers/go.(*Builder).finish
         0     0%   100%      0.02s  1.63%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
         0     0%   100%      0.02s  1.63%  github.com/google/flatbuffers/go.NewBuilder (inline)
         0     0%   100%      0.04s  3.25%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do
         0     0%   100%      0.01s  0.81%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateDailyWaiters
         0     0%   100%      0.03s  2.44%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateHourlySales
         0     0%   100%      0.04s  3.25%  github.com/untillpro/airs-bp3/packages/air/dashboard.glob..func1
         0     0%   100%      0.01s  0.81%  github.com/untillpro/airs-bp3/packages/air/ordersdates.glob..func1
         0     0%   100%      0.01s  0.81%  github.com/untillpro/airs-bp3/packages/air/pbilldates.glob..func1
         0     0%   100%      0.03s  2.44%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4
         0     0%   100%      0.03s  2.44%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4.1
         0     0%   100%      0.02s  1.63%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4.2
         0     0%   100%      0.01s  0.81%  github.com/untillpro/dynobuffers.(*Buffer).GetInt32
         0     0%   100%      0.02s  1.63%  github.com/untillpro/dynobuffers.(*Buffer).GetInt64
         0     0%   100%      0.01s  0.81%  github.com/untillpro/dynobuffers.(*Buffer).Reset
         0     0%   100%      0.05s  4.07%  github.com/untillpro/dynobuffers.(*Buffer).ToBytes
         0     0%   100%      0.05s  4.07%  github.com/untillpro/dynobuffers.(*Buffer).ToBytesNilled
         0     0%   100%      0.01s  0.81%  github.com/untillpro/dynobuffers.(*Buffer).releaseFields
         0     0%   100%      0.01s  0.81%  github.com/untillpro/dynobuffers.(*modifiedField).Release
         0     0%   100%      0.05s  4.07%  github.com/untillpro/dynobuffers.NewBuffer
         0     0%   100%      0.05s  4.07%  github.com/untillpro/dynobuffers.getBuffer (inline)
         0     0%   100%      0.05s  4.07%  github.com/untillpro/dynobuffers.glob..func1
