File: airs-bp
Type: alloc_space
Time: Aug 24, 2023 at 4:43pm (UTC)
Showing nodes accounting for 533.99MB, 82.63% of 646.27MB total
Dropped 378 nodes (cum <= 3.23MB)
      flat  flat%   sum%        cum   cum%
   72.67MB 11.24% 11.24%    80.67MB 12.48%  encoding/json.(*decodeState).objectInterface
   72.52MB 11.22% 22.47%    93.52MB 14.47%  github.com/untillpro/dynobuffers.glob..func1
   33.58MB  5.20% 27.66%    33.58MB  5.20%  io.ReadAll
   30.99MB  4.79% 32.46%       36MB  5.57%  github.com/alecthomas/participle/v2/lexer.Upgrade
   28.50MB  4.41% 36.87%    28.50MB  4.41%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
   27.03MB  4.18% 41.05%    27.03MB  4.18%  github.com/alecthomas/participle/v2.newTagLexer
   24.55MB  3.80% 44.85%    24.55MB  3.80%  github.com/untillpro/dynobuffers.(*Buffer).prepareModifiedFields (inline)
      21MB  3.25% 48.10%       21MB  3.25%  github.com/google/flatbuffers/go.NewBuilder (inline)
      11MB  1.70% 49.80%       11MB  1.70%  github.com/gocql/gocql.newFramer (inline)
      11MB  1.70% 51.50%    11.50MB  1.78%  github.com/voedger/voedger/pkg/parser.iterate
   10.01MB  1.55% 53.05%    10.01MB  1.55%  bytes.growSlice
    9.50MB  1.47% 54.52%     9.50MB  1.47%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
    9.50MB  1.47% 55.99%    10.50MB  1.62%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1
       9MB  1.39% 57.38%        9MB  1.39%  encoding/base64.(*Encoding).DecodeString
    8.50MB  1.32% 58.70%    23.50MB  3.64%  github.com/gocql/gocql.(*Conn).executeBatch
    8.50MB  1.32% 60.01%    39.50MB  6.11%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
    8.01MB  1.24% 61.25%     8.01MB  1.24%  github.com/gocql/gocql.(*framer).writeBytes (inline)
    7.50MB  1.16% 62.41%     7.50MB  1.16%  net/textproto.readMIMEHeader
       7MB  1.08% 63.50%        7MB  1.08%  github.com/alecthomas/participle/v2.(*parseContext).Defer (inline)
    6.50MB  1.01% 64.50%    16.51MB  2.55%  bytes.(*Buffer).grow
    6.50MB  1.01% 65.51%     6.50MB  1.01%  encoding/json.unquote (inline)
       6MB  0.93% 66.44%        6MB  0.93%  reflect.mapassign_faststr
       6MB  0.93% 67.37%        6MB  0.93%  github.com/VictoriaMetrics/fastcache.(*bucket).Get
       6MB  0.93% 68.29%        6MB  0.93%  github.com/gocql/gocql.(*queryMetrics).hostMetricsLocked
       6MB  0.93% 69.22%    34.01MB  5.26%  github.com/voedger/voedger/pkg/istructsmem.newValue
       6MB  0.93% 70.15%     6.50MB  1.01%  time.NewTimer
    5.50MB  0.85% 71.00%    42.51MB  6.58%  github.com/voedger/voedger/pkg/istructsmem.newKey
