File: airs-bp
Type: cpu
Time: Aug 24, 2023 at 5:25pm (UTC)
Duration: 10s, Total samples = 1.13s (11.30%)
Showing nodes accounting for 1.12s, 99.12% of 1.13s total
      flat  flat%   sum%        cum   cum%
     0.18s 15.93% 15.93%      0.18s 15.93%  runtime.futex
     0.11s  9.73% 25.66%      0.11s  9.73%  runtime/internal/syscall.Syscall6
     0.03s  2.65% 28.32%      0.10s  8.85%  runtime.mallocgc
     0.03s  2.65% 30.97%      0.07s  6.19%  runtime.scanobject
     0.03s  2.65% 33.63%      0.03s  2.65%  time.Now
     0.02s  1.77% 35.40%      0.02s  1.77%  aeshashbody
     0.02s  1.77% 37.17%      0.02s  1.77%  github.com/google/flatbuffers/go.(*Builder).Prep
     0.02s  1.77% 38.94%      0.44s 38.94%  github.com/voedger/voedger/pkg/pipeline.puller_sync
     0.02s  1.77% 40.71%      0.02s  1.77%  memeqbody
     0.02s  1.77% 42.48%      0.03s  2.65%  runtime.acquirep
     0.02s  1.77% 44.25%      0.02s  1.77%  runtime.heapBitsForAddr
     0.02s  1.77% 46.02%      0.03s  2.65%  runtime.heapBitsSetType
     0.02s  1.77% 47.79%      0.03s  2.65%  runtime.mapaccess2_faststr
     0.02s  1.77% 49.56%      0.02s  1.77%  runtime.memclrNoHeapPointers
     0.02s  1.77% 51.33%      0.02s  1.77%  runtime.memmove
     0.02s  1.77% 53.10%      0.02s  1.77%  runtime.nextFreeFast (inline)
     0.02s  1.77% 54.87%      0.04s  3.54%  runtime.selectgo
     0.02s  1.77% 56.64%      0.02s  1.77%  runtime.usleep
     0.01s  0.88% 57.52%      0.02s  1.77%  encoding/json.checkValid
     0.01s  0.88% 58.41%      0.01s  0.88%  encoding/json.indirect
     0.01s  0.88% 59.29%      0.01s  0.88%  github.com/gocql/gocql.(*Query).defaultsFromSession
     0.01s  0.88% 60.18%      0.01s  0.88%  github.com/gocql/gocql.(*framer).writeByte (inline)
     0.01s  0.88% 61.06%      0.07s  6.19%  github.com/gocql/gocql.(*queryExecutor).executeQuery
     0.01s  0.88% 61.95%      0.06s  5.31%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
     0.01s  0.88% 62.83%      0.01s  0.88%  github.com/google/flatbuffers/go.(*Builder).EndVector
     0.01s  0.88% 63.72%      0.01s  0.88%  github.com/google/flatbuffers/go.GetUint16 (inline)
     0.01s  0.88% 64.60%      0.01s  0.88%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateHourlySales
     0.01s  0.88% 65.49%      0.01s  0.88%  github.com/untillpro/airs-bp3/packages/air/edit.execCmdOrders
     0.01s  0.88% 66.37%      0.01s  0.88%  github.com/untillpro/dynobuffers.(*Buffer).GetString
     0.01s  0.88% 67.26%      0.01s  0.88%  github.com/voedger/voedger/pkg/appdef.(*containers).Container (inline)
     0.01s  0.88% 68.14%      0.01s  0.88%  github.com/voedger/voedger/pkg/appdef.(*field).Verifiable
     0.01s  0.88% 69.03%      0.03s  2.65%  github.com/voedger/voedger/pkg/appdef.(*fields).Fields
     0.01s  0.88% 69.91%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*commandFunction).UnloggedParamsDef
     0.01s  0.88% 70.80%      0.04s  3.54%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).enumRecs
     0.01s  0.88% 71.68%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).putValue
     0.01s  0.88% 72.57%      0.02s  1.77%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
     0.01s  0.88% 73.45%      0.01s  0.88%  github.com/voedger/voedger/pkg/projectors.isAcceptable
     0.01s  0.88% 74.34%      0.03s  2.65%  github.com/voedger/voedger/pkg/router.corsHandler.func1
     0.01s  0.88% 75.22%      0.01s  0.88%  internal/poll.convertErr (inline)
     0.01s  0.88% 76.11%      0.01s  0.88%  reflect.Value.Convert
     0.01s  0.88% 76.99%      0.02s  1.77%  regexp.(*Regexp).doOnePass
     0.01s  0.88% 77.88%      0.01s  0.88%  regexp/syntax.(*Inst).MatchRunePos
     0.01s  0.88% 78.76%      0.01s  0.88%  runtime.(*guintptr).cas (inline)
     0.01s  0.88% 79.65%      0.01s  0.88%  runtime.(*itabTableType).find
     0.01s  0.88% 80.53%      0.01s  0.88%  runtime.(*mcache).prepareForSweep
     0.01s  0.88% 81.42%      0.01s  0.88%  runtime.(*randomEnum).next (inline)
     0.01s  0.88% 82.30%      0.01s  0.88%  runtime.(*waitq).dequeue (inline)
     0.01s  0.88% 83.19%      0.01s  0.88%  runtime.(*waitq).dequeueSudoG (inline)
     0.01s  0.88% 84.07%      0.01s  0.88%  runtime.chanrecv
     0.01s  0.88% 84.96%      0.09s  7.96%  runtime.chansend
     0.01s  0.88% 85.84%      0.01s  0.88%  runtime.deferprocStack
     0.01s  0.88% 86.73%      0.01s  0.88%  runtime.evacuate_faststr
     0.01s  0.88% 87.61%      0.01s  0.88%  runtime.findObject
     0.01s  0.88% 88.50%      0.25s 22.12%  runtime.findRunnable
     0.01s  0.88% 89.38%      0.01s  0.88%  runtime.gopark
     0.01s  0.88% 90.27%      0.01s  0.88%  runtime.heapBits.next
     0.01s  0.88% 91.15%      0.04s  3.54%  runtime.mapaccess2
     0.01s  0.88% 92.04%      0.27s 23.89%  runtime.park_m
     0.01s  0.88% 92.92%      0.01s  0.88%  runtime.read
     0.01s  0.88% 93.81%      0.03s  2.65%  runtime.runqsteal
     0.01s  0.88% 94.69%      0.01s  0.88%  runtime.write1
     0.01s  0.88% 95.58%      0.01s  0.88%  runtime.writeHeapBits.write
     0.01s  0.88% 96.46%      0.01s  0.88%  sync.(*Map).loadReadOnly (inline)
     0.01s  0.88% 97.35%      0.01s  0.88%  sync.(*Mutex).lockSlow
     0.01s  0.88% 98.23%      0.01s  0.88%  sync/atomic.(*Int32).Add (inline)
     0.01s  0.88% 99.12%      0.01s  0.88%  type:.hash.github.com/voedger/voedger/pkg/istructsmem/internal/plogcache.plogEvKey
         0     0% 99.12%      0.01s  0.88%  bufio.(*Reader).Read
         0     0% 99.12%      0.03s  2.65%  bufio.(*Writer).Flush
         0     0% 99.12%      0.02s  1.77%  encoding/json.(*decodeState).arrayInterface
         0     0% 99.12%      0.05s  4.42%  encoding/json.(*decodeState).object
         0     0% 99.12%      0.02s  1.77%  encoding/json.(*decodeState).objectInterface
         0     0% 99.12%      0.05s  4.42%  encoding/json.(*decodeState).unmarshal
         0     0% 99.12%      0.05s  4.42%  encoding/json.(*decodeState).value
         0     0% 99.12%      0.02s  1.77%  encoding/json.(*decodeState).valueInterface
         0     0% 99.12%      0.01s  0.88%  encoding/json.(*scanner).pushParseState
         0     0% 99.12%      0.07s  6.19%  encoding/json.Unmarshal
         0     0% 99.12%      0.01s  0.88%  encoding/json.cachedTypeFields
         0     0% 99.12%      0.01s  0.88%  encoding/json.stateBeginValue
         0     0% 99.12%      0.01s  0.88%  fmt.Sprintf
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*Batch).attempt
         0     0% 99.12%      0.02s  1.77%  github.com/gocql/gocql.(*Batch).execute
         0     0% 99.12%      0.02s  1.77%  github.com/gocql/gocql.(*Conn).exec
         0     0% 99.12%      0.02s  1.77%  github.com/gocql/gocql.(*Conn).executeBatch
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*Conn).recv
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*Conn).serve
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*HostInfo).IsUp (inline)
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*HostInfo).State
         0     0% 99.12%      0.02s  1.77%  github.com/gocql/gocql.(*Query).Exec
         0     0% 99.12%      0.02s  1.77%  github.com/gocql/gocql.(*Query).Iter
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*Query).attempt
         0     0% 99.12%      0.05s  4.42%  github.com/gocql/gocql.(*Session).ExecuteBatch
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*Session).Query
         0     0% 99.12%      0.05s  4.42%  github.com/gocql/gocql.(*Session).executeBatch
         0     0% 99.12%      0.02s  1.77%  github.com/gocql/gocql.(*Session).executeQuery
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*framer).writeBatchFrame
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*policyConnPool).getPool
         0     0% 99.12%      0.04s  3.54%  github.com/gocql/gocql.(*queryExecutor).attemptQuery
         0     0% 99.12%      0.06s  5.31%  github.com/gocql/gocql.(*queryExecutor).do
         0     0% 99.12%      0.02s  1.77%  github.com/gocql/gocql.(*queryMetrics).attempt
         0     0% 99.12%      0.02s  1.77%  github.com/gocql/gocql.(*queryMetrics).hostMetricsLocked
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*writeBatchFrame).buildFrame
         0     0% 99.12%      0.03s  2.65%  github.com/gocql/gocql.(*writeCoalescer).flush
         0     0% 99.12%      0.06s  5.31%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher.func1
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.readHeader
         0     0% 99.12%      0.01s  0.88%  github.com/gocql/gocql.roundRobbin.func1
