File: airs-bp
Type: alloc_objects
Time: Aug 24, 2023 at 5:44pm (UTC)
Showing nodes accounting for 5555279, 87.55% of 6345515 total
Dropped 358 nodes (cum <= 31727)
      flat  flat%   sum%        cum   cum%
    461827  7.28%  7.28%     461827  7.28%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
    327682  5.16% 12.44%     327709  5.16%  github.com/voedger/voedger/pkg/parser.iterate
    260740  4.11% 16.55%     480752  7.58%  github.com/untillpro/dynobuffers.glob..func1
    220012  3.47% 20.02%     220012  3.47%  github.com/google/flatbuffers/go.NewBuilder (inline)
    207533  3.27% 23.29%     207533  3.27%  encoding/json.unquote (inline)
    177193  2.79% 26.08%     250921  3.95%  github.com/alecthomas/participle/v2/lexer.Upgrade
    163842  2.58% 28.66%     163842  2.58%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
    145642  2.30% 30.96%     189333  2.98%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1
    131072  2.07% 33.02%     131072  2.07%  encoding/json.(*decodeState).literalStore
    122883  1.94% 34.96%     142842  2.25%  bytes.(*Buffer).grow
    114690  1.81% 36.77%     114690  1.81%  reflect.New
    109728  1.73% 38.50%     109728  1.73%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync
    109228  1.72% 40.22%     405093  6.38%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
    108836  1.72% 41.93%     349137  5.50%  encoding/json.(*decodeState).objectInterface
    101584  1.60% 43.53%     101584  1.60%  time.NewTimer
     97940  1.54% 45.08%      97940  1.54%  github.com/google/flatbuffers/go.(*Builder).StartObject (inline)
     87383  1.38% 46.46%      87383  1.38%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
     86025  1.36% 47.81%      86025  1.36%  github.com/gocql/gocql.newFramer (inline)
     85205  1.34% 49.15%      85205  1.34%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
     81920  1.29% 50.44%      85726  1.35%  github.com/alecthomas/participle/v2.visit
     77823  1.23% 51.67%     241584  3.81%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Get
     76458  1.20% 52.88%     729612 11.50%  encoding/json.(*decodeState).object
     75007  1.18% 54.06%     107775  1.70%  net/textproto.readMIMEHeader
     73728  1.16% 55.22%      73728  1.16%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validKey
     65537  1.03% 56.25%      65537  1.03%  github.com/gocql/gocql.(*framer).readStringList
     65537  1.03% 57.29%      98306  1.55%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers
     65536  1.03% 58.32%     428225  6.75%  github.com/alecthomas/participle/v2.(*generatorContext).parseDisjunction
     65536  1.03% 59.35%     389650  6.14%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
     65536  1.03% 60.38%      68314  1.08%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutRecordID
     65536  1.03% 61.42%      65536  1.03%  github.com/voedger/voedger/pkg/pipeline.NewAsyncOp (inline)
     65536  1.03% 62.45%      65536  1.03%  github.com/voedger/voedger/pkg/router.writeResponse
     65535  1.03% 63.48%     299775  4.72%  github.com/alecthomas/participle/v2.(*capture).Parse
     64400  1.01% 64.50%     205815  3.24%  github.com/gocql/gocql.(*Conn).executeBatch
     62909  0.99% 65.49%     622676  9.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
     56139  0.88% 66.37%      56139  0.88%  github.com/alecthomas/participle/v2.newTagLexer
     54613  0.86% 67.23%     207652  3.27%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).Put
     49152  0.77% 68.01%      49152  0.77%  github.com/gocql/gocql.roundRobbin
     49151  0.77% 68.78%     221139  3.48%  github.com/gocql/gocql.(*Conn).exec
     43692  0.69% 69.47%     231407  3.65%  github.com/voedger/voedger/pkg/istructsmem.newKey
     43690  0.69% 70.16%      70065  1.10%  github.com/alecthomas/participle/v2.(*generatorContext).parseModifier
     43690  0.69% 70.85%     299775  4.72%  github.com/alecthomas/participle/v2.(*strct).Parse
     43690  0.69% 71.54%      43690  0.69%  github.com/gocql/gocql.unmarshalVarchar
     43112  0.68% 72.22%      43112  0.68%  fmt.Sprintf
     41707  0.66% 72.87%      41707  0.66%  net/textproto.MIMEHeader.Set (inline)
     40051  0.63% 73.50%     163866  2.58%  github.com/voedger/voedger/pkg/istructsmem.newValue
     34451  0.54% 74.05%      34451  0.54%  github.com/gocql/gocql.(*Session).NewBatch
     32769  0.52% 74.56%      87879  1.38%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).regenerateIDs.func2
     32769  0.52% 75.08%      65537  1.03%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
     32768  0.52% 75.60%      32768  0.52%  encoding/json.(*decodeState).convertNumber
     32768  0.52% 76.11%      32768  0.52%  github.com/alecthomas/participle/v2.textScannerTransform
     32768  0.52% 76.63%      43691  0.69%  github.com/untillpro/dynobuffers.(*Buffer).getByUOffsetT
     32768  0.52% 77.15%      32768  0.52%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutInt64
     32768  0.52% 77.66%      33406  0.53%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutString
     32768  0.52% 78.18%      32768  0.52%  github.com/voedger/voedger/pkg/istructsmem.uint16bytes (inline)
     32768  0.52% 78.70%     120151  1.89%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
     32768  0.52% 79.21%     132034  2.08%  github.com/voedger/voedger/pkg/state.(*viewRecordsValueBuilder).BuildValue
     32768  0.52% 79.73%      34028  0.54%  github.com/voedger/voedger/pkg/state.implProvideQueryProcessorState
     32768  0.52% 80.24%      32768  0.52%  net/textproto.canonicalMIMEHeaderKey
     32768  0.52% 80.76%     131073  2.07%  reflect.cvtBytesString
     32768  0.52% 81.28%      32768  0.52%  text/scanner.(*Scanner).TokenText
     32767  0.52% 81.79%     299775  4.72%  github.com/alecthomas/participle/v2.(*sequence).Parse
     32222  0.51% 82.30%      32222  0.51%  github.com/VictoriaMetrics/fastcache.(*bucket).Get
     29495  0.46% 82.77%      53604  0.84%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).ElementBuilder
     21847  0.34% 83.11%     471110  7.42%  encoding/json.Unmarshal
     21846  0.34% 83.45%     190634  3.00%  github.com/voedger/voedger/pkg/state.(*bundleImpl).put
     21845  0.34% 83.80%      47073  0.74%  encoding/json.(*decodeState).array
     21845  0.34% 84.14%      43690  0.69%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
     20286  0.32% 84.46%     147403  2.32%  net/http.(*conn).readRequest
     16385  0.26% 84.72%      42298  0.67%  github.com/gocql/gocql.(*Conn).recv
     16384  0.26% 84.98%      49152  0.77%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).RecordIDs
     11668  0.18% 85.16%      93589  1.47%  github.com/gocql/gocql.(*framer).readStringMultiMap
     11378  0.18% 85.34%     134676  2.12%  github.com/gocql/gocql.(*Conn).executeQuery
     10923  0.17% 85.51%      60075  0.95%  github.com/gocql/gocql.(*dcAwareRR).Pick
