File: airs-bp
Type: cpu
Time: Aug 24, 2023 at 6:14pm (UTC)
Duration: 10.05s, Total samples = 1.24s (12.34%)
Showing nodes accounting for 1.24s, 100% of 1.24s total
      flat  flat%   sum%        cum   cum%
     0.22s 17.74% 17.74%      0.22s 17.74%  runtime/internal/syscall.Syscall6
     0.19s 15.32% 33.06%      0.19s 15.32%  runtime.futex
     0.04s  3.23% 36.29%      0.14s 11.29%  runtime.mallocgc
     0.03s  2.42% 38.71%      0.03s  2.42%  runtime.(*itabTableType).find
     0.03s  2.42% 41.13%      0.03s  2.42%  runtime.nextFreeFast (inline)
     0.03s  2.42% 43.55%      0.08s  6.45%  runtime.scanobject
     0.02s  1.61% 45.16%      0.04s  3.23%  encoding/json.checkValid
     0.02s  1.61% 46.77%      0.04s  3.23%  runtime.heapBitsSetType
     0.02s  1.61% 48.39%      0.02s  1.61%  runtime.memclrNoHeapPointers
     0.02s  1.61% 50.00%      0.02s  1.61%  runtime.memmove
     0.02s  1.61% 51.61%      0.02s  1.61%  runtime.read
     0.02s  1.61% 53.23%      0.02s  1.61%  runtime.scanblock
     0.02s  1.61% 54.84%      0.02s  1.61%  runtime.write1
     0.02s  1.61% 56.45%      0.02s  1.61%  runtime.writeHeapBits.flush
     0.01s  0.81% 57.26%      0.01s  0.81%  bytes.(*Buffer).grow
     0.01s  0.81% 58.06%      0.01s  0.81%  context.propagateCancel
     0.01s  0.81% 58.87%      0.01s  0.81%  context.removeChild
     0.01s  0.81% 59.68%      0.01s  0.81%  crypto/sha256.block
     0.01s  0.81% 60.48%      0.01s  0.81%  encoding/base64.(*Encoding).Decode
     0.01s  0.81% 61.29%      0.01s  0.81%  encoding/json.(*Decoder).refill
     0.01s  0.81% 62.10%      0.01s  0.81%  encoding/json.state1
     0.01s  0.81% 62.90%      0.01s  0.81%  encoding/json.stateInString
     0.01s  0.81% 63.71%      0.02s  1.61%  github.com/google/flatbuffers/go.(*Builder).Prep
     0.01s  0.81% 64.52%      0.01s  0.81%  github.com/untillpro/airs-bp3/packages/air/dashboard.glob..func1.1
     0.01s  0.81% 65.32%      0.02s  1.61%  github.com/untillpro/dynobuffers.(*Buffer).getFieldUOffsetT
     0.01s  0.81% 66.13%      0.01s  0.81%  github.com/voedger/voedger/pkg/appdef.(*def).QName
     0.01s  0.81% 66.94%      0.03s  2.42%  github.com/voedger/voedger/pkg/istructsmem.CheckRefIntegrity.func1
     0.01s  0.81% 67.74%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorageValue).AsInt64
     0.01s  0.81% 68.55%      0.01s  0.81%  github.com/voedger/voedger/pkg/sys/authnz/workspace.initializeWorkspaceProjector.func1.1
     0.01s  0.81% 69.35%      0.01s  0.81%  math.Float64frombits (inline)
     0.01s  0.81% 70.16%      0.11s  8.87%  net.(*Buffers).WriteTo
     0.01s  0.81% 70.97%      0.01s  0.81%  reflect.Value.Uint (inline)
     0.01s  0.81% 71.77%      0.01s  0.81%  reflect.packEface
     0.01s  0.81% 72.58%      0.01s  0.81%  runtime.(*randomEnum).next (inline)
     0.01s  0.81% 73.39%      0.01s  0.81%  runtime.(*randomOrder).start (inline)
     0.01s  0.81% 74.19%      0.01s  0.81%  runtime.(*spanSet).pop
     0.01s  0.81% 75.00%      0.01s  0.81%  runtime.(*waitq).dequeue (inline)
     0.01s  0.81% 75.81%      0.01s  0.81%  runtime._ExternalCode
     0.01s  0.81% 76.61%      0.01s  0.81%  runtime.add (inline)
     0.01s  0.81% 77.42%      0.01s  0.81%  runtime.arenaIndex (inline)
     0.01s  0.81% 78.23%      0.02s  1.61%  runtime.casgstatus
     0.01s  0.81% 79.03%      0.01s  0.81%  runtime.exitsyscall
     0.01s  0.81% 79.84%      0.01s  0.81%  runtime.findObject
     0.01s  0.81% 80.65%      0.11s  8.87%  runtime.gcDrain
     0.01s  0.81% 81.45%      0.01s  0.81%  runtime.getMCache (inline)
     0.01s  0.81% 82.26%      0.01s  0.81%  runtime.gopark
     0.01s  0.81% 83.06%      0.01s  0.81%  runtime.gorecover
     0.01s  0.81% 83.87%      0.01s  0.81%  runtime.heapBits.next
     0.01s  0.81% 84.68%      0.01s  0.81%  runtime.heapBits.nextFast (inline)
     0.01s  0.81% 85.48%      0.01s  0.81%  runtime.isEmpty (inline)
     0.01s  0.81% 86.29%      0.04s  3.23%  runtime.makeslice
     0.01s  0.81% 87.10%      0.01s  0.81%  runtime.mapaccess2_faststr
     0.01s  0.81% 87.90%      0.03s  2.42%  runtime.mapassign_faststr
     0.01s  0.81% 88.71%      0.01s  0.81%  runtime.markBits.setMarked (inline)
     0.01s  0.81% 89.52%      0.01s  0.81%  runtime.mget (inline)
     0.01s  0.81% 90.32%      0.01s  0.81%  runtime.nanotime (inline)
     0.01s  0.81% 91.13%      0.09s  7.26%  runtime.notesleep
     0.01s  0.81% 91.94%      0.01s  0.81%  runtime.procyield
     0.01s  0.81% 92.74%      0.01s  0.81%  runtime.releaseSudog
     0.01s  0.81% 93.55%      0.01s  0.81%  runtime.releasem (inline)
     0.01s  0.81% 94.35%      0.01s  0.81%  runtime.runqgrab
     0.01s  0.81% 95.16%      0.01s  0.81%  runtime.unlock2
     0.01s  0.81% 95.97%      0.01s  0.81%  runtime/internal/atomic.(*Uint64).Load (inline)
     0.01s  0.81% 96.77%      0.01s  0.81%  strconv.ParseUint
     0.01s  0.81% 97.58%      0.02s  1.61%  sync.(*Mutex).Unlock (inline)
     0.01s  0.81% 98.39%      0.01s  0.81%  sync.runtime_canSpin
     0.01s  0.81% 99.19%      0.01s  0.81%  time.Now
     0.01s  0.81%   100%      0.01s  0.81%  time.Time.Sub
         0     0%   100%      0.01s  0.81%  bufio.(*Reader).Peek
         0     0%   100%      0.01s  0.81%  bufio.(*Reader).Read
         0     0%   100%      0.01s  0.81%  bufio.(*Reader).fill
         0     0%   100%      0.04s  3.23%  bufio.(*Writer).Flush
         0     0%   100%      0.01s  0.81%  bytes.(*Buffer).Write
         0     0%   100%      0.01s  0.81%  context.(*cancelCtx).cancel
         0     0%   100%      0.02s  1.61%  context.WithCancel
         0     0%   100%      0.01s  0.81%  context.WithCancel.func1
         0     0%   100%      0.01s  0.81%  context.withCancel
         0     0%   100%      0.01s  0.81%  crypto/hmac.New
         0     0%   100%      0.01s  0.81%  crypto/sha256.(*digest).Write
         0     0%   100%      0.01s  0.81%  encoding/base64.(*Encoding).DecodeString
         0     0%   100%      0.01s  0.81%  encoding/json.(*Decoder).Decode
         0     0%   100%      0.01s  0.81%  encoding/json.(*Decoder).readValue
         0     0%   100%      0.01s  0.81%  encoding/json.(*decodeState).array
         0     0%   100%      0.02s  1.61%  encoding/json.(*decodeState).arrayInterface
         0     0%   100%      0.01s  0.81%  encoding/json.(*decodeState).literalStore
         0     0%   100%      0.04s  3.23%  encoding/json.(*decodeState).object
         0     0%   100%      0.02s  1.61%  encoding/json.(*decodeState).objectInterface
         0     0%   100%      0.04s  3.23%  encoding/json.(*decodeState).unmarshal
         0     0%   100%      0.04s  3.23%  encoding/json.(*decodeState).value
         0     0%   100%      0.02s  1.61%  encoding/json.(*decodeState).valueInterface
         0     0%   100%      0.08s  6.45%  encoding/json.Unmarshal
         0     0%   100%      0.01s  0.81%  fmt.(*pp).doPrintf
         0     0%   100%      0.01s  0.81%  fmt.(*pp).printArg
         0     0%   100%      0.01s  0.81%  fmt.(*pp).printValue
         0     0%   100%      0.01s  0.81%  fmt.Sprintf
         0     0%   100%      0.05s  4.03%  github.com/gocql/gocql.(*Batch).execute
         0     0%   100%      0.06s  4.84%  github.com/gocql/gocql.(*Conn).exec
         0     0%   100%      0.05s  4.03%  github.com/gocql/gocql.(*Conn).executeBatch
         0     0%   100%      0.02s  1.61%  github.com/gocql/gocql.(*Conn).executeQuery
         0     0%   100%      0.04s  3.23%  github.com/gocql/gocql.(*Conn).recv
         0     0%   100%      0.04s  3.23%  github.com/gocql/gocql.(*Conn).serve
         0     0%   100%      0.02s  1.61%  github.com/gocql/gocql.(*Query).Exec
         0     0%   100%      0.02s  1.61%  github.com/gocql/gocql.(*Query).Iter
         0     0%   100%      0.02s  1.61%  github.com/gocql/gocql.(*Query).execute
         0     0%   100%      0.06s  4.84%  github.com/gocql/gocql.(*Session).ExecuteBatch
         0     0%   100%      0.06s  4.84%  github.com/gocql/gocql.(*Session).executeBatch
         0     0%   100%      0.02s  1.61%  github.com/gocql/gocql.(*Session).executeQuery
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*framer).parseFrame
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*framer).parseFrame.func1
         0     0%   100%      0.08s  6.45%  github.com/gocql/gocql.(*queryExecutor).attemptQuery
         0     0%   100%      0.08s  6.45%  github.com/gocql/gocql.(*queryExecutor).do
         0     0%   100%      0.08s  6.45%  github.com/gocql/gocql.(*queryExecutor).executeQuery
         0     0%   100%      0.14s 11.29%  github.com/gocql/gocql.(*writeCoalescer).flush
         0     0%   100%      0.03s  2.42%  github.com/gocql/gocql.(*writeCoalescer).writeContext
         0     0%   100%      0.15s 12.10%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher.func1
         0     0%   100%      0.15s 12.10%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
         0     0%   100%      0.02s  1.61%  github.com/gocql/gocql.newFramer (inline)
         0     0%   100%      0.01s  0.81%  github.com/gocql/gocql.readHeader
         0     0%   100%      0.05s  4.03%  github.com/golang-jwt/jwt.(*Parser).Parse (inline)
         0     0%   100%      0.04s  3.23%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
         0     0%   100%      0.05s  4.03%  github.com/golang-jwt/jwt.(*Parser).ParseWithClaims
         0     0%   100%      0.01s  0.81%  github.com/golang-jwt/jwt.(*SigningMethodHMAC).Verify
         0     0%   100%      0.01s  0.81%  github.com/golang-jwt/jwt.DecodeSegment (inline)
         0     0%   100%      0.05s  4.03%  github.com/golang-jwt/jwt.Parse
         0     0%   100%      0.01s  0.81%  github.com/google/flatbuffers/go.(*Builder).CreateByteVector
         0     0%   100%      0.01s  0.81%  github.com/google/flatbuffers/go.(*Builder).CreateString
         0     0%   100%      0.01s  0.81%  github.com/google/flatbuffers/go.(*Builder).Finish (inline)
         0     0%   100%      0.01s  0.81%  github.com/google/flatbuffers/go.(*Builder).finish
         0     0%   100%      0.01s  0.81%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
         0     0%   100%      0.01s  0.81%  github.com/google/flatbuffers/go.NewBuilder (inline)
         0     0%   100%      0.07s  5.65%  github.com/gorilla/mux.(*Router).ServeHTTP
         0     0%   100%      0.01s  0.81%  github.com/hashicorp/golang-lru/v2.(*Cache[...]).Add
         0     0%   100%      0.01s  0.81%  github.com/hashicorp/golang-lru/v2.(*Cache[...]).Get
         0     0%   100%      0.05s  4.03%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do
         0     0%   100%      0.02s  1.61%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateDailyOrders
