File: airs-bp
Type: cpu
Time: Aug 26, 2023 at 7:07pm (UTC)
Duration: 10s, Total samples = 1.20s (12.00%)
Showing nodes accounting for 1.20s, 100% of 1.20s total
      flat  flat%   sum%        cum   cum%
     0.12s 10.00% 10.00%      0.12s 10.00%  runtime.futex
     0.11s  9.17% 19.17%      0.11s  9.17%  runtime/internal/syscall.Syscall6
     0.06s  5.00% 24.17%      0.07s  5.83%  runtime.mapaccess2_faststr
     0.05s  4.17% 28.33%      0.05s  4.17%  runtime.nanotime (inline)
     0.05s  4.17% 32.50%      0.05s  4.17%  runtime.nextFreeFast (inline)
     0.04s  3.33% 35.83%      0.21s 17.50%  runtime.mallocgc
     0.03s  2.50% 38.33%      0.03s  2.50%  runtime.memclrNoHeapPointers
     0.02s  1.67% 40.00%      0.03s  2.50%  encoding/json.checkValid
     0.02s  1.67% 41.67%      0.22s 18.33%  runtime.findRunnable
     0.02s  1.67% 43.33%      0.04s  3.33%  runtime.getitab
     0.02s  1.67% 45.00%      0.06s  5.00%  runtime.goready
     0.02s  1.67% 46.67%      0.02s  1.67%  runtime.heapBits.nextFast (inline)
     0.02s  1.67% 48.33%      0.05s  4.17%  runtime.heapBitsSetType
     0.02s  1.67% 50.00%      0.02s  1.67%  runtime.memmove
     0.02s  1.67% 51.67%      0.02s  1.67%  runtime.write1
     0.02s  1.67% 53.33%      0.02s  1.67%  runtime.writeHeapBits.flush
     0.01s  0.83% 54.17%      0.01s  0.83%  aeshashbody
     0.01s  0.83% 55.00%      0.01s  0.83%  encoding/json.(*decodeState).rescanLiteral
     0.01s  0.83% 55.83%      0.01s  0.83%  encoding/json.(*decodeState).scanWhile
     0.01s  0.83% 56.67%      0.01s  0.83%  encoding/json.stateInString
     0.01s  0.83% 57.50%      0.02s  1.67%  github.com/VictoriaMetrics/fastcache.(*Cache).Set
     0.01s  0.83% 58.33%      0.02s  1.67%  github.com/VictoriaMetrics/fastcache.(*bucket).Get
     0.01s  0.83% 59.17%      0.06s  5.00%  github.com/gocql/gocql.(*Conn).executeBatch
     0.01s  0.83% 60.00%      0.01s  0.83%  github.com/gocql/gocql.Marshal
     0.01s  0.83% 60.83%      0.01s  0.83%  github.com/google/flatbuffers/go.(*Table).Offset
     0.01s  0.83% 61.67%      0.01s  0.83%  github.com/untillpro/dynobuffers.(*Buffer).ToBytesNilled
     0.01s  0.83% 62.50%      0.06s  5.00%  github.com/voedger/voedger/pkg/appdef.(*fields).Field (partial-inline)
     0.01s  0.83% 63.33%      0.01s  0.83%  github.com/voedger/voedger/pkg/iauthnzimpl.ACL.IsAllowed
     0.01s  0.83% 64.17%      0.04s  3.33%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).putRecordsBatch
     0.01s  0.83% 65.00%      0.06s  5.00%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).KeyBuilder
     0.01s  0.83% 65.83%      0.02s  1.67%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).Elements
     0.01s  0.83% 66.67%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).validDefs
     0.01s  0.83% 67.50%      0.02s  1.67%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).putValue
     0.01s  0.83% 68.33%      0.08s  6.67%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setQName
     0.01s  0.83% 69.17%      0.02s  1.67%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers.func2
     0.01s  0.83% 70.00%      0.03s  2.50%  github.com/voedger/voedger/pkg/istructsmem.FillElementFromJSON
     0.01s  0.83% 70.83%      0.01s  0.83%  io.LimitReader (inline)
     0.01s  0.83% 71.67%      0.01s  0.83%  net.wrapSyscallError (inline)
     0.01s  0.83% 72.50%      0.02s  1.67%  net/http.(*connReader).Read
     0.01s  0.83% 73.33%      0.01s  0.83%  reflect.(*rtype).Kind (inline)
     0.01s  0.83% 74.17%      0.01s  0.83%  runtime.(*gcWork).tryGetFast (inline)
     0.01s  0.83% 75.00%      0.02s  1.67%  runtime.(*itabTableType).find
     0.01s  0.83% 75.83%      0.04s  3.33%  runtime.(*mcache).refill
     0.01s  0.83% 76.67%      0.01s  0.83%  runtime.(*mheap).setSpans
     0.01s  0.83% 77.50%      0.01s  0.83%  runtime.(*spanSet).pop
     0.01s  0.83% 78.33%      0.01s  0.83%  runtime.(*spanSet).push
     0.01s  0.83% 79.17%      0.01s  0.83%  runtime.(*sweepLocked).sweep
     0.01s  0.83% 80.00%      0.01s  0.83%  runtime.(*waitq).dequeue (inline)
     0.01s  0.83% 80.83%      0.01s  0.83%  runtime.acquireSudog
     0.01s  0.83% 81.67%      0.01s  0.83%  runtime.add (inline)
     0.01s  0.83% 82.50%      0.01s  0.83%  runtime.checkRunqsNoP
     0.01s  0.83% 83.33%      0.01s  0.83%  runtime.exitsyscall
     0.01s  0.83% 84.17%      0.01s  0.83%  runtime.findObject
     0.01s  0.83% 85.00%      0.06s  5.00%  runtime.futexsleep
     0.01s  0.83% 85.83%      0.02s  1.67%  runtime.hashGrow
     0.01s  0.83% 86.67%      0.01s  0.83%  runtime.itabHashFunc (inline)
     0.01s  0.83% 87.50%      0.01s  0.83%  runtime.lock2
     0.01s  0.83% 88.33%      0.05s  4.17%  runtime.makeslice
     0.01s  0.83% 89.17%      0.01s  0.83%  runtime.mapaccess1_fast64
     0.01s  0.83% 90.00%      0.03s  2.50%  runtime.mapassign_faststr
     0.01s  0.83% 90.83%      0.07s  5.83%  runtime.netpoll
     0.01s  0.83% 91.67%      0.01s  0.83%  runtime.netpollblock
     0.01s  0.83% 92.50%      0.01s  0.83%  runtime.read
     0.01s  0.83% 93.33%      0.04s  3.33%  runtime.scanobject
     0.01s  0.83% 94.17%      0.26s 21.67%  runtime.schedule
     0.01s  0.83% 95.00%      0.06s  5.00%  runtime.selectgo
     0.01s  0.83% 95.83%      0.02s  1.67%  runtime.sellock
     0.01s  0.83% 96.67%      0.01s  0.83%  runtime.stealWork
     0.01s  0.83% 97.50%      0.01s  0.83%  runtime.typedmemmove
     0.01s  0.83% 98.33%      0.01s  0.83%  runtime.writeHeapBits.write
     0.01s  0.83% 99.17%      0.01s  0.83%  runtime/internal/atomic.(*Uint8).Load (inline)
     0.01s  0.83%   100%      0.01s  0.83%  sync/atomic.(*Int32).Add (inline)
         0     0%   100%      0.02s  1.67%  bufio.(*Reader).Peek
         0     0%   100%      0.05s  4.17%  bufio.(*Reader).Read
         0     0%   100%      0.02s  1.67%  bufio.(*Reader).fill
         0     0%   100%      0.02s  1.67%  bufio.(*Writer).Flush
         0     0%   100%      0.01s  0.83%  bufio.(*Writer).Write
         0     0%   100%      0.01s  0.83%  encoding/json.(*Decoder).Decode
         0     0%   100%      0.06s  5.00%  encoding/json.(*decodeState).arrayInterface
         0     0%   100%      0.08s  6.67%  encoding/json.(*decodeState).object
         0     0%   100%      0.06s  5.00%  encoding/json.(*decodeState).objectInterface
         0     0%   100%      0.09s  7.50%  encoding/json.(*decodeState).unmarshal
         0     0%   100%      0.08s  6.67%  encoding/json.(*decodeState).value
         0     0%   100%      0.06s  5.00%  encoding/json.(*decodeState).valueInterface
         0     0%   100%      0.11s  9.17%  encoding/json.Unmarshal
         0     0%   100%      0.01s  0.83%  encoding/json.unquote (inline)
         0     0%   100%      0.02s  1.67%  github.com/VictoriaMetrics/fastcache.(*Cache).HasGet
         0     0%   100%      0.01s  0.83%  github.com/VictoriaMetrics/fastcache.(*bucket).Set
         0     0%   100%      0.01s  0.83%  github.com/gocql/gocql.(*Batch).attempt
         0     0%   100%      0.06s  5.00%  github.com/gocql/gocql.(*Batch).execute
         0     0%   100%      0.06s  5.00%  github.com/gocql/gocql.(*Conn).exec
         0     0%   100%      0.03s  2.50%  github.com/gocql/gocql.(*Conn).executeQuery
         0     0%   100%      0.01s  0.83%  github.com/gocql/gocql.(*Conn).prepareStatement
         0     0%   100%      0.05s  4.17%  github.com/gocql/gocql.(*Conn).recv
         0     0%   100%      0.05s  4.17%  github.com/gocql/gocql.(*Conn).serve
         0     0%   100%      0.01s  0.83%  github.com/gocql/gocql.(*HostInfo).ConnectAddress
         0     0%   100%      0.03s  2.50%  github.com/gocql/gocql.(*Query).Exec
         0     0%   100%      0.03s  2.50%  github.com/gocql/gocql.(*Query).Iter
         0     0%   100%      0.03s  2.50%  github.com/gocql/gocql.(*Query).execute
         0     0%   100%      0.07s  5.83%  github.com/gocql/gocql.(*Session).ExecuteBatch
         0     0%   100%      0.07s  5.83%  github.com/gocql/gocql.(*Session).executeBatch
         0     0%   100%      0.03s  2.50%  github.com/gocql/gocql.(*Session).executeQuery
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.(*framer).writeExecuteFrame
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.(*framer).writeLong (inline)
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.(*framer).writeQueryParams
         0     0%   100%      0.01s  0.83%  github.com/gocql/gocql.(*preparedLRU).keyFor (inline)
         0     0%   100%      0.10s  8.33%  github.com/gocql/gocql.(*queryExecutor).attemptQuery
         0     0%   100%      0.10s  8.33%  github.com/gocql/gocql.(*queryExecutor).do
         0     0%   100%      0.10s  8.33%  github.com/gocql/gocql.(*queryExecutor).executeQuery
         0     0%   100%      0.01s  0.83%  github.com/gocql/gocql.(*queryMetrics).attempt
         0     0%   100%      0.01s  0.83%  github.com/gocql/gocql.(*queryMetrics).hostMetricsLocked
         0     0%   100%      0.03s  2.50%  github.com/gocql/gocql.(*writeCoalescer).flush
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.(*writeCoalescer).writeContext
         0     0%   100%      0.05s  4.17%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher
         0     0%   100%      0.01s  0.83%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher.func1
         0     0%   100%      0.05s  4.17%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.(*writeExecuteFrame).buildFrame
         0     0%   100%      0.02s  1.67%  github.com/gocql/gocql.appendLong (inline)
         0     0%   100%      0.01s  0.83%  github.com/gocql/gocql.marshalQueryValue
         0     0%   100%      0.05s  4.17%  github.com/gocql/gocql.readHeader
         0     0%   100%      0.02s  1.67%  github.com/golang-jwt/jwt.(*Parser).Parse (inline)
         0     0%   100%      0.02s  1.67%  github.com/golang-jwt/jwt.(*Parser).ParseUnverified
         0     0%   100%      0.02s  1.67%  github.com/golang-jwt/jwt.(*Parser).ParseWithClaims
         0     0%   100%      0.02s  1.67%  github.com/golang-jwt/jwt.Parse
         0     0%   100%      0.04s  3.33%  github.com/google/flatbuffers/go.NewBuilder (inline)
         0     0%   100%      0.02s  1.67%  github.com/gorilla/mux.(*Router).ServeHTTP
         0     0%   100%      0.01s  0.83%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*articleService).isPromoArticle
         0     0%   100%      0.06s  5.00%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do
         0     0%   100%      0.01s  0.83%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do.func3
         0     0%   100%      0.02s  1.67%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateDailyPayments
         0     0%   100%      0.02s  1.67%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateHourlySales
         0     0%   100%      0.07s  5.83%  github.com/untillpro/airs-bp3/packages/air/dashboard.glob..func1
         0     0%   100%      0.01s  0.83%  github.com/untillpro/airs-bp3/packages/air/dashboard.glob..func1.2
         0     0%   100%      0.02s  1.67%  github.com/untillpro/airs-bp3/packages/air/edit.execCmdOrders
         0     0%   100%      0.01s  0.83%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.ProvideTableBusinessValidator.func1
         0     0%   100%      0.01s  0.83%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.ProvideTableBusinessValidator.func1.1
         0     0%   100%      0.04s  3.33%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func3
         0     0%   100%      0.04s  3.33%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func3.1
         0     0%   100%      0.03s  2.50%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func3.2
         0     0%   100%      0.04s  3.33%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4
