File: airs-bp
Type: alloc_objects
Time: Aug 26, 2023 at 7:15pm (UTC)
Showing nodes accounting for 6802207, 85.28% of 7975890 total
Dropped 397 nodes (cum <= 39879)
      flat  flat%   sum%        cum   cum%
    827403 10.37% 10.37%     827403 10.37%  github.com/google/flatbuffers/go.(*Builder).growByteBuffer (inline)
    622597  7.81% 18.18%     622652  7.81%  github.com/voedger/voedger/pkg/parser.iterate
    382298  4.79% 22.97%     382298  4.79%  encoding/json.unquote (inline)
    344296  4.32% 27.29%     567820  7.12%  github.com/untillpro/dynobuffers.glob..func1
    223524  2.80% 30.09%     223524  2.80%  github.com/google/flatbuffers/go.NewBuilder (inline)
    202797  2.54% 32.63%    1112120 13.94%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
    184253  2.31% 34.94%     353715  4.43%  github.com/alecthomas/participle/v2/lexer.Upgrade
    163842  2.05% 37.00%     163842  2.05%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
    163840  2.05% 39.05%     583337  7.31%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
    132165  1.66% 40.71%     132677  1.66%  time.NewTimer
    131073  1.64% 42.35%     163841  2.05%  encoding/json.(*decodeState).literalInterface
    114693  1.44% 43.79%     277603  3.48%  github.com/gocql/gocql.(*Conn).executeBatch
    109229  1.37% 45.16%     976670 12.25%  encoding/json.(*decodeState).object
    100115  1.26% 46.42%     670830  8.41%  encoding/json.(*decodeState).objectInterface
     98304  1.23% 47.65%     131072  1.64%  encoding/json.(*decodeState).literalStore
     98304  1.23% 48.88%     106496  1.34%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
     93935  1.18% 50.06%      93935  1.18%  fmt.Sprintf
     88551  1.11% 51.17%      88551  1.11%  github.com/gocql/gocql.unmarshalVarchar
     88480  1.11% 52.28%      88480  1.11%  github.com/alecthomas/participle/v2.(*parseContext).Branch (inline)
     87382  1.10% 53.37%      87382  1.10%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
     87381  1.10% 54.47%     109226  1.37%  github.com/gocql/gocql.(*writeCoalescer).writeFlusherImpl
